SourcePort,DestPort,FlowDuration,TotalFwdPackets,TotalBwdPackets,BwdInitWinBytes,FwdInitWinBytes,StartTime,Label,Label
53063,443,0.9338629245758057,6.0,9.0,16384,513,1701220429.791587,Non-Tor,Browsing
53112,443,122.71698093414307,16.0,13.0,8192,64240,1701220429.812016,Non-Tor,Browsing
53034,443,314.97898602485657,9.0,12.0,59,510,1701220430.073699,Non-Tor,Browsing
52986,443,301.13785099983215,10.0,5.0,7260,510,1701220432.388184,Non-Tor,Browsing
53124,443,221.32781505584717,14.0,15.0,65535,64240,1701220442.910531,Non-Tor,Browsing
53074,443,0.06478500366210938,2.0,2.0,16384,510,1701220443.034091,Non-Tor,Browsing
53125,443,60.822160959243774,11.0,11.0,65535,64240,1701220443.034476,Non-Tor,Browsing
52973,443,315.1828348636627,16.0,8.0,8066,511,1701220445.617288,Non-Tor,Browsing
53127,443,90.52394509315491,13.0,12.0,65535,64240,1701220445.684855,Non-Tor,Browsing
53019,443,320.14762115478516,18.0,9.0,2046,511,1701220446.902669,Non-Tor,Browsing
53060,443,0.0,1.0,2.0,16382,514,1701220456.834711,Non-Tor,Browsing
53059,443,0.0,1.0,2.0,16384,513,1701220456.992636,Non-Tor,Browsing
52966,443,280.79499912261963,16.0,8.0,2044,514,1701220459.073391,Non-Tor,Browsing
53086,443,0.06740403175354004,2.0,1.0,16380,513,1701220478.750606,Non-Tor,Browsing
53193,443,60.744680881500244,11.0,11.0,65535,64240,1701220503.781892,Non-Tor,Browsing
53197,443,90.57280993461609,13.0,14.0,65535,64240,1701220506.50833,Non-Tor,Browsing
53272,443,60.538114070892334,12.0,14.0,65535,64240,1701220564.468577,Non-Tor,Browsing
53357,443,60.39481806755066,12.0,15.0,65535,64240,1701220624.943925,Non-Tor,Browsing
53472,443,60.32505798339844,9.0,10.0,65535,64240,1701220685.284678,Non-Tor,Browsing
53519,443,0.27818989753723145,8.0,7.0,65535,64240,1701220743.612421,Non-Tor,Browsing
53522,443,0.8441858291625977,9.0,9.0,65535,64240,1701220745.561253,Non-Tor,Browsing
53523,443,0.570918083190918,12.0,9.0,65535,64240,1701220746.143317,Non-Tor,Browsing
53019,443,440.14770102500916,24.0,12.0,2044,509,1701220846.888777,Non-Tor,Browsing
52973,443,450.22415709495544,22.0,11.0,7682,511,1701220850.695555,Non-Tor,Browsing
52986,443,240.13165807724,4.0,2.0,8192,513,1701220855.925154,Non-Tor,Browsing
52966,443,441.30629205703735,24.0,12.0,2048,512,1701220860.016337,Non-Tor,Browsing
53034,443,434.9162290096283,12.0,16.0,59,514,1701220865.052629,Non-Tor,Browsing
53613,443,90.667160987854,12.0,12.0,65535,64240,1701220866.527213,Non-Tor,Browsing
53568,443,0.06923890113830566,2.0,2.0,16384,510,1701220866.62649,Non-Tor,Browsing
53614,443,60.45532298088074,11.0,13.0,65535,64240,1701220866.626738,Non-Tor,Browsing
53615,443,90.81481385231018,13.0,13.0,65535,64240,1701220867.020095,Non-Tor,Browsing
443,53519,120.07663202285767,4.0,3.0,513,16384,1701220874.49336,Non-Tor,Browsing
53566,443,0.05984807014465332,2.0,2.0,2049,511,1701220880.946065,Non-Tor,Browsing
53800,443,421.71030592918396,1131.0,1402.0,42340,64240,1701220897.442578,Non-Tor,Browsing
53835,443,60.34385418891907,11.0,9.0,65535,64240,1701220927.017279,Non-Tor,Browsing
53872,443,106.7265100479126,14.0,11.0,65535,64240,1701220943.792844,Non-Tor,Browsing
53903,443,1.0824940204620361,18.0,18.0,65535,64240,1701220980.148102,Non-Tor,Browsing
53912,443,60.45414900779724,11.0,16.0,65535,64240,1701220987.407713,Non-Tor,Browsing
53958,443,110.04543900489807,11.0,8.0,65535,65535,1701221023.614973,Non-Tor,Browsing
53112,443,237.62610411643982,3.0,2.0,7895,512,1701221040.055671,Non-Tor,Browsing
53988,443,239.64929604530334,16.0,14.0,65535,64240,1701221044.1499,Non-Tor,Browsing
53998,443,92.18389797210693,18.0,15.0,65535,64240,1701221046.756115,Non-Tor,Browsing
53999,443,90.55403304100037,8.0,8.0,65535,64240,1701221046.877933,Non-Tor,Browsing
54002,443,60.33648419380188,9.0,10.0,65535,64240,1701221047.799656,Non-Tor,Browsing
54063,443,60.4230580329895,12.0,17.0,65535,64240,1701221108.074274,Non-Tor,Browsing
54155,443,60.3579888343811,9.0,9.0,65535,64240,1701221168.43706,Non-Tor,Browsing
54198,443,0.6145420074462891,11.0,9.0,65535,65535,1701221225.901913,Non-Tor,Browsing
54200,443,91.42391395568848,15.0,15.0,65535,64240,1701221226.407361,Non-Tor,Browsing
54202,443,60.39377403259277,9.0,9.0,65535,64240,1701221228.716493,Non-Tor,Browsing
54240,443,0.49272799491882324,10.0,9.0,64240,64240,1701221277.840056,Non-Tor,Browsing
54246,443,0.5726559162139893,12.0,9.0,65535,64240,1701221286.540723,Non-Tor,Browsing
54247,443,0.6088728904724121,6.0,7.0,65535,64240,1701221286.675919,Non-Tor,Browsing
54251,443,0.27318906784057617,7.0,7.0,65535,64240,1701221289.050999,Non-Tor,Browsing
443,56310,237.47807598114014,7105.0,6180.0,510,21,1701226746.119785,Non-Tor,Browsing
56271,443,0.10995006561279297,2.0,1.0,501,515,1701226767.380223,Non-Tor,Browsing
56278,443,0.11551189422607422,2.0,1.0,501,510,1701226767.380454,Non-Tor,Browsing
56279,443,0.1157219409942627,2.0,1.0,501,510,1701226767.3806,Non-Tor,Browsing
56275,443,0.11576199531555176,2.0,1.0,501,510,1701226767.380708,Non-Tor,Browsing
56277,443,0.11582207679748535,2.0,1.0,501,510,1701226767.380813,Non-Tor,Browsing
56276,443,0.11526608467102051,2.0,1.0,501,510,1701226767.380923,Non-Tor,Browsing
56259,443,180.15274906158447,10.0,5.0,8108,512,1701226778.195272,Non-Tor,Browsing
56280,443,0.0,1.0,2.0,16384,513,1701226783.322892,Non-Tor,Browsing
56316,443,0.09219908714294434,2.0,2.0,16384,510,1701226798.219686,Non-Tor,Browsing
56449,443,60.494062185287476,12.0,13.0,65535,64240,1701226798.220528,Non-Tor,Browsing
56465,443,0.5052840709686279,11.0,11.0,8192,64240,1701226809.433461,Non-Tor,Browsing
56466,443,60.51651191711426,10.0,10.0,64240,64240,1701226809.627378,Non-Tor,Browsing
56467,443,0.9894938468933105,11.0,7.0,65535,65535,1701226809.976077,Non-Tor,Browsing
56468,443,0.989171028137207,11.0,8.0,65535,65535,1701226809.976124,Non-Tor,Browsing
56291,443,0.0961768627166748,2.0,1.0,16384,1022,1701226814.617773,Non-Tor,Browsing
56515,443,60.495200872421265,11.0,13.0,65535,64240,1701226858.60661,Non-Tor,Browsing
56568,443,0.3704349994659424,9.0,6.0,65535,65535,1701226911.425611,Non-Tor,Browsing
56594,443,60.4541540145874,10.0,11.0,65535,64240,1701226919.053653,Non-Tor,Browsing
56606,443,45.57332992553711,13.0,10.0,65535,64240,1701226924.799132,Non-Tor,Browsing
56266,443,0.0,1.0,1.0,7705,511,1701226934.822412,Non-Tor,Browsing
56644,443,0.34268999099731445,9.0,10.0,65535,64240,1701226979.458681,Non-Tor,Browsing
56648,443,0.10180902481079102,3.0,2.0,65535,65535,1701226984.382476,Non-Tor,Browsing
56649,443,0.0,1.0,1.0,65535,65535,1701226984.659424,Non-Tor,Browsing
443,56707,243.70477080345154,3908.0,3139.0,515,21,1701227033.136974,Non-Tor,Browsing
56568,443,0.06749391555786133,2.0,1.0,16384,1022,1701227034.606848,Non-Tor,Browsing
56644,443,0.07648897171020508,2.0,2.0,16384,510,1701227039.814587,Non-Tor,Browsing
56713,443,60.52097797393799,11.0,13.0,65535,64240,1701227039.814971,Non-Tor,Browsing
56259,443,225.21150994300842,12.0,6.0,7854,513,1701227048.231523,Non-Tor,Browsing
56465,443,0.0,1.0,1.0,7990,514,1701227054.904402,Non-Tor,Browsing
56649,443,0.15339899063110352,2.0,1.0,16379,1022,1701227094.240968,Non-Tor,Browsing
56796,443,60.4657199382782,11.0,13.0,65535,64240,1701227100.270108,Non-Tor,Browsing
56872,443,60.483726024627686,12.0,14.0,65535,64240,1701227160.635177,Non-Tor,Browsing
56266,443,0.1083071231842041,2.0,1.0,7606,511,1701227169.640339,Non-Tor,Browsing
56984,443,0.26531410217285156,7.0,8.0,65535,64240,1701227221.058286,Non-Tor,Browsing
57145,443,5.499718904495239,13.0,15.0,65535,65535,1701227310.502568,Non-Tor,Browsing
57149,443,0.3560950756072998,15.0,10.0,65535,65535,1701227311.718921,Non-Tor,Browsing
57160,443,120.83032202720642,32.0,37.0,64240,65535,1701227315.182595,Non-Tor,Browsing
57165,443,269.79880714416504,3472.0,4142.0,42340,64240,1701227316.696976,Non-Tor,Browsing
56259,443,270.17503595352173,14.0,7.0,7596,515,1701227318.297374,Non-Tor,Browsing
57129,443,45.070576906204224,2.0,3.0,16382,510,1701227330.170196,Non-Tor,Browsing
57125,443,0.06498599052429199,2.0,2.0,16384,510,1701227341.72203,Non-Tor,Browsing
57182,443,60.43178606033325,12.0,14.0,65535,64240,1701227341.722812,Non-Tor,Browsing
57421,443,60.432945013046265,10.0,12.0,65535,64240,1701227402.223989,Non-Tor,Browsing
56266,443,164.50400805473328,5.0,3.0,7606,510,1701227414.721634,Non-Tor,Browsing
57545,443,60.4207980632782,10.0,11.0,65535,64240,1701227462.603806,Non-Tor,Browsing
57580,80,1.6495099067687988,5.0,5.0,64240,64240,1701227510.318344,Non-Tor,Browsing
57590,443,60.44511604309082,11.0,12.0,65535,64240,1701227522.969438,Non-Tor,Browsing
56465,443,0.0,1.0,1.0,7990,514,1701227545.076575,Non-Tor,Browsing
57637,80,0.42717695236206055,6.0,5.0,64240,64240,1701227579.375773,Non-Tor,Browsing
57639,443,0.3329451084136963,10.0,10.0,65535,64240,1701227583.321728,Non-Tor,Browsing
443,57745,271.1608028411865,584.0,466.0,512,84,1701227926.393165,Non-Tor,Browsing
56266,443,214.78032207489014,5.0,3.0,7108,513,1701227930.364269,Non-Tor,Browsing
57869,443,0.5483839511871338,3.0,2.0,16384,510,1701227945.81099,Non-Tor,Browsing
57911,443,60.96556997299194,10.0,11.0,65535,64240,1701227945.811721,Non-Tor,Browsing
56259,443,225.14184999465942,13.0,7.0,6994,513,1701227948.426315,Non-Tor,Browsing
57973,443,90.79332900047302,13.0,14.0,65535,64240,1701228004.81528,Non-Tor,Browsing
57975,443,60.77076506614685,13.0,14.0,65535,64240,1701228006.834291,Non-Tor,Browsing
56465,443,0.0,1.0,1.0,7891,514,1701228017.603645,Non-Tor,Browsing
58013,443,61.14597702026367,11.0,12.0,65535,64240,1701228067.182777,Non-Tor,Browsing
58051,443,60.56912803649902,10.0,11.0,65535,64240,1701228128.217448,Non-Tor,Browsing
58109,443,0.2597780227661133,7.0,7.0,65535,64240,1701228188.724691,Non-Tor,Browsing
443,58147,135.61764979362488,13.0,10.0,1024,16382,1701228236.936901,Non-Tor,Browsing
58140,443,0.1644289493560791,4.0,3.0,16384,1019,1701228241.15289,Non-Tor,Browsing
58157,443,0.31124401092529297,13.0,15.0,65535,65535,1701228244.317799,Non-Tor,Browsing
58159,443,0.30316996574401855,15.0,16.0,65535,65535,1701228244.632095,Non-Tor,Browsing
58164,443,485.3974459171295,802.0,1077.0,42340,64240,1701228246.513631,Non-Tor,Browsing
58109,443,0.06525588035583496,2.0,2.0,16384,510,1701228249.021893,Non-Tor,Browsing
58166,443,60.37597584724426,12.0,14.0,65535,64240,1701228249.022591,Non-Tor,Browsing
56465,443,245.09871196746826,2.0,2.0,7891,514,1701228262.683384,Non-Tor,Browsing
56259,443,450.17021107673645,23.0,12.0,8106,514,1701228263.468318,Non-Tor,Browsing
58188,443,112.06799912452698,13.0,6.0,65535,65535,1701228279.532136,Non-Tor,Browsing
58207,443,60.439263105392456,12.0,14.0,65535,64240,1701228309.346767,Non-Tor,Browsing
58244,443,60.69176912307739,9.0,9.0,65535,64240,1701228369.684819,Non-Tor,Browsing
58246,443,91.1667959690094,13.0,13.0,65535,64240,1701228370.828857,Non-Tor,Browsing
56266,443,251.24562096595764,4.0,2.0,6906,511,1701228390.109074,Non-Tor,Browsing
58289,443,60.5327889919281,11.0,12.0,65535,64240,1701228430.31465,Non-Tor,Browsing
58322,443,109.99802422523499,12.0,8.0,65535,65535,1701228481.791803,Non-Tor,Browsing
58329,443,60.3968551158905,9.0,10.0,65535,64240,1701228490.730229,Non-Tor,Browsing
58380,443,60.42960596084595,10.0,11.0,65535,64240,1701228551.074861,Non-Tor,Browsing
58428,443,60.41372609138489,11.0,12.0,65535,64240,1701228611.44307,Non-Tor,Browsing
58476,443,60.40929102897644,9.0,9.0,65535,64240,1701228671.908743,Non-Tor,Browsing
58506,443,0.3592841625213623,7.0,10.0,65535,64240,1701228703.182685,Non-Tor,Browsing
58507,443,1.223984956741333,12.0,27.0,65535,64240,1701228703.656336,Non-Tor,Browsing
58513,443,0.7648251056671143,10.0,8.0,65535,65535,1701228711.549625,Non-Tor,Browsing
58523,443,0.8522970676422119,11.0,10.0,65535,64240,1701228725.839017,Non-Tor,Browsing
58527,443,0.3496420383453369,9.0,12.0,65535,64240,1701228732.240236,Non-Tor,Browsing
58596,443,0.25873613357543945,11.0,13.0,65535,65535,1701228806.270767,Non-Tor,Browsing
58599,443,332.90981006622314,820.0,984.0,42340,64240,1701228810.249333,Non-Tor,Browsing
58523,443,0.0,1.0,2.0,16384,513,1701228816.673649,Non-Tor,Browsing
58513,443,0.13531780242919922,2.0,1.0,16384,1021,1701228821.431934,Non-Tor,Browsing
58550,443,0.06985616683959961,2.0,1.0,501,515,1701228828.332218,Non-Tor,Browsing
56259,443,270.9478671550751,26.0,11.0,7547,513,1701228848.532847,Non-Tor,Browsing
58570,443,0.08835816383361816,2.0,2.0,16384,510,1701228853.024468,Non-Tor,Browsing
58642,443,60.60736799240112,10.0,12.0,65535,64240,1701228853.024713,Non-Tor,Browsing
58507,443,0.1784069538116455,2.0,1.0,16384,513,1701228864.610093,Non-Tor,Browsing
56266,443,212.8651418685913,4.0,2.0,6906,511,1701228886.424838,Non-Tor,Browsing
58564,443,0.7698521614074707,3.0,1.0,16384,1021,1701228894.22641,Non-Tor,Browsing
58684,443,60.68682885169983,10.0,12.0,65535,64240,1701228913.552947,Non-Tor,Browsing
58730,443,60.698200941085815,12.0,14.0,65535,64240,1701228974.175273,Non-Tor,Browsing
56465,443,0.0,1.0,1.0,7891,514,1701228998.084402,Non-Tor,Browsing
58775,443,60.47582483291626,10.0,12.0,65535,64240,1701229034.80991,Non-Tor,Browsing
58827,443,45.53064799308777,12.0,10.0,65535,64240,1701229084.914443,Non-Tor,Browsing
58828,443,45.70494794845581,13.0,12.0,65535,64240,1701229085.384227,Non-Tor,Browsing
58845,443,0.2890200614929199,10.0,13.0,65535,64240,1701229095.230583,Non-Tor,Browsing
58934,443,6.580657005310059,26.0,52.0,65535,65535,1701229206.046021,Non-Tor,Browsing
58936,443,1.305898904800415,11.0,11.0,65535,65535,1701229206.140721,Non-Tor,Browsing
58937,443,0.45772385597229004,14.0,12.0,65535,65535,1701229206.893047,Non-Tor,Browsing
56259,443,1170.2869338989258,78.0,42.0,7203,513,1701229208.631412,Non-Tor,Browsing
58951,443,0.3186299800872803,13.0,14.0,65535,65535,1701229212.454015,Non-Tor,Browsing
58900,443,0.07603907585144043,2.0,2.0,16384,515,1701229215.906246,Non-Tor,Browsing
58954,443,60.73439311981201,12.0,14.0,65535,64240,1701229215.906895,Non-Tor,Browsing
58962,443,1173.8525249958038,1112.0,1390.0,42340,64240,1701229223.97415,Non-Tor,Browsing
58997,443,60.9435760974884,10.0,11.0,65535,64240,1701229276.317118,Non-Tor,Browsing
59059,443,60.35295104980469,9.0,9.0,65535,64240,1701229337.323777,Non-Tor,Browsing
56266,443,916.9746670722961,6.0,5.0,6805,511,1701229344.247608,Non-Tor,Browsing
59097,443,60.70235085487366,11.0,13.0,65535,64240,1701229397.597953,Non-Tor,Browsing
56465,443,983.4826240539551,6.0,5.0,7792,513,1701229400.373494,Non-Tor,Browsing
59129,443,90.81881594657898,13.0,12.0,65535,64240,1701229445.003772,Non-Tor,Browsing
59137,443,60.59870004653931,11.0,13.0,65535,64240,1701229458.218839,Non-Tor,Browsing
59176,443,61.67518997192383,11.0,12.0,65535,64240,1701229518.584306,Non-Tor,Browsing
59215,443,61.93859791755676,11.0,10.0,65535,64240,1701229579.367629,Non-Tor,Browsing
59254,443,61.609715938568115,12.0,11.0,65535,64240,1701229640.91325,Non-Tor,Browsing
59342,443,60.79891800880432,10.0,11.0,65535,64240,1701229702.439394,Non-Tor,Browsing
59406,443,60.44336986541748,11.0,13.0,65535,64240,1701229763.164827,Non-Tor,Browsing
59448,443,90.89349102973938,14.0,11.0,65535,64240,1701229804.921333,Non-Tor,Browsing
59449,443,90.63706183433533,8.0,8.0,65535,64240,1701229805.177761,Non-Tor,Browsing
59460,443,61.34153890609741,14.0,16.0,65535,64240,1701229823.544958,Non-Tor,Browsing
59502,443,61.07443690299988,11.0,12.0,65535,64240,1701229883.917428,Non-Tor,Browsing
59542,443,61.34302592277527,11.0,12.0,65535,64240,1701229944.478528,Non-Tor,Browsing
59580,443,60.604804039001465,10.0,12.0,65535,64240,1701230005.238865,Non-Tor,Browsing
59638,443,60.38396883010864,9.0,10.0,65535,64240,1701230065.769772,Non-Tor,Browsing
59649,443,110.10256910324097,13.0,8.0,65535,65535,1701230079.389628,Non-Tor,Browsing
59683,443,60.70897388458252,11.0,13.0,65535,64240,1701230126.063133,Non-Tor,Browsing
59712,443,91.26946496963501,14.0,14.0,65535,64240,1701230166.910221,Non-Tor,Browsing
59733,443,60.800857067108154,12.0,13.0,65535,64240,1701230186.697314,Non-Tor,Browsing
59759,443,0.5695898532867432,12.0,12.0,65535,64240,1701230223.763514,Non-Tor,Browsing
59780,443,60.748722076416016,10.0,9.0,65535,64240,1701230247.06323,Non-Tor,Browsing
59806,443,110.5547821521759,13.0,9.0,65535,65535,1701230281.633942,Non-Tor,Browsing
59822,443,60.66332292556763,10.0,11.0,65535,64240,1701230307.73446,Non-Tor,Browsing
59892,443,0.537402868270874,13.0,12.0,65535,64240,1701230355.094968,Non-Tor,Browsing
59895,443,0.3548159599304199,12.0,9.0,65535,64240,1701230357.641078,Non-Tor,Browsing
59896,443,0.3189849853515625,8.0,10.0,64240,64240,1701230357.687211,Non-Tor,Browsing
59897,443,0.3483541011810303,8.0,10.0,64240,64240,1701230357.98487,Non-Tor,Browsing
59901,443,0.9145159721374512,14.0,12.0,65535,64240,1701230358.745765,Non-Tor,Browsing
59904,443,0.526494026184082,13.0,12.0,65535,64240,1701230362.069822,Non-Tor,Browsing
59908,443,0.29566192626953125,9.0,12.0,65535,64240,1701230368.34382,Non-Tor,Browsing
59912,443,0.5259590148925781,13.0,10.0,65535,64240,1701230370.922138,Non-Tor,Browsing
52708,443,186.8960690498352,196.0,302.0,1986,21505,1701221536.43802,Tor,Browsing
443,52620,179.26239013671875,11.0,11.0,2048,70,1701221539.134399,Tor,Browsing
52695,443,22.04101300239563,2.0,2.0,2046,4096,1701221540.180838,Tor,Browsing
443,52704,0.0,1.0,1.0,25913,42,1701221551.912497,Tor,Browsing
52703,443,104.60212707519531,6.0,5.0,134,2051,1701221552.974365,Tor,Browsing
52715,443,150.74050498008728,37.0,27.0,65535,65535,1701221562.338665,Tor,Browsing
60283,80,0.06538105010986328,2.0,1.0,131,2048,1701221573.895964,Tor,Browsing
60284,80,0.11583900451660156,4.0,4.0,65535,65535,1701221705.788208,Tor,Browsing
60285,443,5.122068166732788,15.0,20.0,62643,65535,1701221708.892228,Tor,Browsing
52735,443,0.2225329875946045,18.0,15.0,26847,65535,1701221723.787004,Tor,Browsing
52736,443,0.16682791709899902,12.0,7.0,65535,65535,1701221723.906569,Tor,Browsing
443,52708,474.32760190963745,755.0,669.0,21497,1994,1701222036.298706,Tor,Browsing
52620,443,75.00984907150269,8.0,9.0,70,2048,1701222063.432523,Tor,Browsing
52770,443,121.56672692298889,11.0,11.0,501,2048,1701222066.554198,Tor,Browsing
52772,443,427.388160943985,63.0,48.0,16387,2048,1701222067.665801,Tor,Browsing
52776,443,195.07150101661682,9.0,9.0,134,2051,1701222069.103578,Tor,Browsing
